
Execution time: 521617ms
Average execution time: 0.0521617ms

Two way tied games: 407629
Three way tied games: 13764
Four way tied games: 289
Five way tied games: 4
Six way tied games: 0

Weather Scores
--------------
0,34415767
15,15584233

Music Scores
------------
0,37333712
15,12666288

Speed Scores
------------
0,19500789
10,17653921
15,12455663
25,389627

Legal Substance Scores
----------------------
0,657382
1,3714559
2,5747346
3,2352723
5,2792215
6,8087049
7,4378660
8,759315
9,2427062
10,4316847
11,3556103
12,700904
13,1861800
14,1649956
15,2226996
16,1930725
17,309448
18,1173746
19,758137
20,333278
21,130604
23,124049
25,11096

Water Scores
------------
0,7631828
2,12319814
3,4367145
4,8803962
5,7375559
6,3794902
7,3047296
8,1763481
9,495307
10,282047
11,53238
12,40347
13,20020
14,1163
15,2620
16,673
17,219
18,307
19,29
20,18
21,11
23,6
24,4
25,3
26,1

Sun Scores
----------
0,6907509
1,940683
2,266
3,4659874
4,8047
5,18489358
6,128413
8,1115989
10,11413051
15,1608615

Boat Scores
-----------
0,18641331
5,14573482
10,16785187

Trash Scores
------------
0,2217293
3,7567014
6,12851223
9,13457967
12,8993327
15,3788749
18,968711
21,143204
24,11842
27,656
30,13
33,1

Total Scores
------------
0,97455
1,120903
2,149907
3,182132
4,219944
5,259569
6,306743
7,358172
8,414049
9,472431
10,535166
11,605218
12,675678
13,746160
14,825926
15,902721
16,981807
17,1059813
18,1131980
19,1216468
20,1281736
21,1347835
22,1411885
23,1455114
24,1513416
25,1536292
26,1555074
27,1584910
28,1572915
29,1581640
30,1548572
31,1515863
32,1497217
33,1432697
34,1397133
35,1329889
36,1261202
37,1222605
38,1143259
39,1077581
40,1010835
41,941650
42,887444
43,807065
44,749722
45,689941
46,628070
47,577993
48,510192
49,464398
50,414930
51,365917
52,325214
53,281638
54,249704
55,214696
56,181601
57,159288
58,132731
59,112048
60,93534
61,76820
62,64116
63,50476
64,41782
65,32938
66,25201
67,20275
68,15406
69,11943
70,8755
71,6687
72,5050
73,3379
74,2522
75,1879
76,1168
77,900
78,610
79,446
80,295
81,202
82,140
83,86
84,58
85,51
86,22
87,25
88,12
89,7
90,6
91,3
92,1
93,3
95,2
96,1

Winning Strategy
----------------
0,890901
1,1706909
2,1880365
3,1586915
4,1303062
5,2631848
